row_num,trip_id,reason,raw_row
17935,id2538452,anomalous data,id2538452|2|2016-04-24 01:51:06|2016-04-25 01:40:44|1|-73.99090576171875|40.760845184326172|-73.998161315917969|40.745147705078125|N|85778
17997,id2090625,anomalous data,id2090625|2|2016-02-16 15:01:25|2016-02-17 14:31:41|1|-73.964340209960937|40.807750701904297|-73.954910278320312|40.803512573242188|N|84616
20154,id0463051,anomalous data,id0463051|2|2016-02-02 01:45:11|2016-02-03 00:00:00|1|-73.870841979980469|40.773754119873047|-73.971694946289063|40.748767852783203|N|80089
21059,id0587193,anomalous data,id0587193|2|2016-05-23 18:01:22|2016-05-24 17:56:46|1|-73.99713134765625|40.725399017333984|-73.983230590820313|40.726371765136719|N|86124
21305,id1428140,anomalous data,id1428140|2|2016-03-04 08:15:24|2016-03-05 08:14:29|6|-74.002723693847656|40.760631561279297|-73.952957153320313|40.777519226074219|N|86345
21847,id3244242,anomalous data,id3244242|2|2016-06-03 17:14:02|2016-06-04 17:13:05|5|-73.999778747558594|40.725471496582031|-73.986831665039062|40.759735107421875|N|86343
23271,id2354376,anomalous data,id2354376|2|2016-01-31 10:29:49|2016-02-01 10:18:02|1|-73.9847412109375|40.710239410400391|-73.989547729492188|40.740020751953125|N|85693
24451,id1237917,anomalous data,id1237917|2|2016-06-22 01:46:24|2016-06-23 00:49:16|1|-73.9764404296875|40.755256652832031|-73.980293273925781|40.748325347900391|N|82972
24680,id1907182,anomalous data,id1907182|2|2016-01-16 00:36:13|2016-01-17 00:16:31|1|-73.987823486328125|40.719940185546875|-73.988014221191406|40.748130798339844|N|85218
25533,id3234529,anomalous data,id3234529|2|2016-05-08 14:21:14|2016-05-09 14:08:27|1|-73.966133117675781|40.760871887207031|-73.954399108886719|40.773941040039063|N|85633
26558,id0868351,anomalous data,id0868351|2|2016-05-07 01:32:28|2016-05-08 00:00:00|1|-73.989883422851562|40.725673675537109|-74.010093688964844|40.711505889892578|N|80852
26624,id1169859,anomalous data,id1169859|2|2016-05-24 23:32:17|2016-05-25 23:14:16|1|-73.979263305664063|40.752826690673828|-73.950881958007812|40.729351043701172|N|85319
26659,id1416094,anomalous data,id1416094|2|2016-06-09 15:44:28|2016-06-10 15:38:32|1|-73.979393005371094|40.766395568847656|-73.984947204589844|40.759265899658203|N|86044
26774,id1678253,anomalous data,id1678253|2|2016-02-03 15:14:29|2016-02-04 15:10:10|1|-73.974647521972656|40.76007080078125|-73.985382080078125|40.753360748291016|N|86141
26869,id1803383,anomalous data,id1803383|2|2016-06-12 16:24:15|2016-06-13 16:19:44|2|-73.988983154296875|40.768581390380859|-73.971946716308594|40.781558990478516|N|86129
29560,id3055936,anomalous data,id3055936|2|2016-04-01 04:15:11|2016-04-02 03:22:16|5|-73.890022277832031|40.746959686279297|-73.857673645019531|40.754299163818359|N|83225
30266,id0951299,anomalous data,id0951299|2|2016-04-29 00:32:26|2016-04-30 00:24:14|1|-74.004013061523438|40.741943359375|-73.992622375488281|40.743930816650391|N|85908
31209,id2576175,anomalous data,id2576175|2|2016-03-13 20:29:14|2016-03-14 20:06:46|1|-73.990982055664063|40.727622985839844|-74.177261352539063|40.691005706787109|N|85052
33631,id3944658,anomalous data,id3944658|2|2016-01-16 19:31:33|2016-01-17 19:22:37|1|-73.996498107910156|40.725399017333984|-73.941558837890625|40.756248474121094|N|85864
33773,id1397988,anomalous data,id1397988|2|2016-04-26 15:29:59|2016-04-27 15:26:58|3|-74.003585815429688|40.749263763427734|-74.008071899414063|40.736095428466797|N|86219
34346,id3241142,anomalous data,id3241142|2|2016-03-23 20:44:12|2016-03-24 19:52:28|1|-73.970069885253906|40.757034301757813|-73.979263305664063|40.761909484863281|N|83296
34710,id3845507,anomalous data,id3845507|2|2016-01-16 04:13:00|2016-01-17 04:00:56|2|-73.97125244140625|40.762924194335938|-73.97662353515625|40.744457244873047|N|85676
35532,id1714693,anomalous data,id1714693|2|2016-05-21 17:48:54|2016-05-22 16:57:57|6|-73.982139587402344|40.768821716308594|-73.9810791015625|40.7596435546875|N|83343
36096,id2346778,anomalous data,id2346778|2|2016-01-22 15:02:10|2016-01-23 14:09:36|1|-73.871101379394531|40.773872375488281|-73.988945007324219|40.758594512939453|N|83246
36947,id2115229,anomalous data,id2115229|2|2016-04-23 23:06:58|2016-04-24 23:02:51|5|-73.953330993652344|40.771541595458984|-74.017082214355469|40.709018707275391|N|86153
37044,id1017521,anomalous data,id1017521|2|2016-04-22 08:06:15|2016-04-23 08:03:45|1|-73.957145690917969|40.768417358398438|-73.959693908691406|40.760143280029297|N|86250
37872,id3363604,anomalous data,id3363604|2|2016-06-03 22:51:03|2016-06-04 22:45:01|5|-73.970596313476563|40.767681121826172|-73.97998046875|40.728458404541016|N|86038
38209,id2941483,anomalous data,id2941483|2|2016-03-26 16:12:37|2016-03-27 15:50:32|1|-73.9456787109375|40.786167144775391|-73.944961547851562|40.722633361816406|N|85075
38816,id3669747,anomalous data,id3669747|2|2016-02-08 18:04:29|2016-02-09 18:03:33|1|-73.991584777832031|40.74468994140625|-73.997001647949219|40.760356903076172|N|86344
38932,id3256939,anomalous data,id3256939|2|2016-02-18 17:56:06|2016-02-19 17:03:38|2|-73.873123168945313|40.773998260498047|-73.980331420898438|40.764987945556641|N|83252
40139,id1455545,anomalous data,id1455545|2|2016-03-22 13:58:38|2016-03-23 13:49:28|1|-73.978729248046875|40.750316619873047|-73.992088317871094|40.748966217041016|N|85850
41295,id2000894,anomalous data,id2000894|2|2016-05-30 17:53:37|2016-05-31 17:52:07|2|-73.957000732421875|40.759010314941406|-73.961830139160156|40.776279449462891|N|86310
41378,id3264736,anomalous data,id3264736|2|2016-03-23 03:07:55|2016-03-24 02:27:45|5|-73.987716674804688|40.765228271484375|-73.913925170898438|40.834201812744141|N|83990
41485,id2573260,anomalous data,id2573260|2|2016-06-27 18:02:38|2016-06-28 17:54:39|6|-74.000595092773438|40.742485046386719|-73.971969604492187|40.7945556640625|N|85921
41627,id0193978,anomalous data,id0193978|2|2016-03-09 18:27:17|2016-03-10 18:07:30|1|-73.993850708007813|40.766300201416016|-73.945953369140625|40.774608612060547|N|85213
41688,id3850711,anomalous data,id3850711|2|2016-05-17 23:11:52|2016-05-18 23:10:41|1|-73.999229431152344|40.739208221435547|-74.005035400390625|40.718898773193359|N|86329
42023,id1911937,anomalous data,id1911937|2|2016-05-25 13:30:49|2016-05-26 13:29:06|1|-74.003494262695313|40.732624053955078|-73.99896240234375|40.713577270507813|N|86297
42084,id1593392,anomalous data,id1593392|2|2016-04-27 20:12:36|2016-04-28 20:07:38|1|-73.991371154785156|40.735210418701172|-73.972076416015625|40.745731353759766|N|86102
43354,id1443501,anomalous data,id1443501|2|2016-04-09 00:52:20|2016-04-10 00:26:22|2|-73.987083435058594|40.733116149902344|-73.963783264160156|40.756919860839844|N|84842
43634,id0383697,anomalous data,id0383697|2|2016-01-15 18:41:27|2016-01-16 18:40:39|1|-73.978973388671875|40.759063720703125|-73.991607666015625|40.744590759277344|N|86352
44894,id0710981,anomalous data,id0710981|2|2016-06-07 16:59:14|2016-06-08 16:57:29|1|-73.955024719238281|40.777606964111328|-73.946380615234375|40.778011322021484|N|86295
45192,id1373801,anomalous data,id1373801|2|2016-02-02 19:57:23|2016-02-03 19:49:30|1|-73.99468994140625|40.760723114013672|-73.984939575195313|40.750320434570312|N|85927
45366,id0938391,anomalous data,id0938391|2|2016-06-18 21:23:56|2016-06-19 21:16:08|1|-73.99298095703125|40.729938507080078|-73.986587524414063|40.754470825195312|N|85932
45808,id2318491,anomalous data,id2318491|2|2016-04-21 11:24:20|2016-04-22 10:49:58|1|-73.994087219238281|40.751213073730469|-73.9814453125|40.755573272705078|N|84338
46601,id1230274,anomalous data,id1230274|2|2016-06-30 08:00:53|2016-07-01 07:46:38|4|-73.922515869140625|40.771846771240234|-73.776397705078125|40.645748138427734|N|85545
46883,id3815584,anomalous data,id3815584|2|2016-03-31 20:39:36|2016-04-01 20:38:23|1|-73.987007141113281|40.742401123046875|-73.951217651367188|40.708370208740234|N|86327
47561,id1781155,anomalous data,id1781155|2|2016-06-13 18:18:36|2016-06-14 18:16:46|1|-73.990036010742188|40.732643127441406|-74.00543212890625|40.746467590332031|N|86290
48692,id2005775,anomalous data,id2005775|2|2016-03-20 21:57:08|2016-03-21 21:54:08|2|-73.961311340332031|40.759696960449219|-73.960289001464844|40.770473480224609|N|86220
49347,id2489103,anomalous data,id2489103|2|2016-04-02 10:34:56|2016-04-03 00:00:00|1|-73.989860534667969|40.729606628417969|-73.989547729492188|40.730045318603516|N|48304
50069,id0410957,anomalous data,id0410957|2|2016-01-23 00:10:59|2016-01-24 00:05:58|1|-74.012794494628906|40.709728240966797|-74.015243530273437|40.709400177001953|N|86099
51865,id1205504,anomalous data,id1205504|2|2016-05-21 23:46:10|2016-05-22 23:44:09|2|-73.986740112304688|40.734020233154297|-73.976066589355469|40.752410888671875|N|86279
52309,id0442316,anomalous data,id0442316|1|2016-04-16 03:46:50|2016-04-16 15:47:25|1|-73.925239562988281|40.840385437011719|-73.924896240234375|40.841388702392578|N|43235
53236,id3491590,anomalous data,id3491590|2|2016-02-04 06:39:19|2016-02-05 00:00:00|1|-73.958824157714844|40.763896942138672|-73.976707458496094|40.750152587890625|N|62441
54179,id2349061,anomalous data,id2349061|2|2016-02-27 11:42:44|2016-02-28 11:41:19|1|-73.981048583984375|40.7818603515625|-73.976234436035156|40.794948577880859|N|86315
54199,id1678182,anomalous data,id1678182|2|2016-05-08 14:03:23|2016-05-09 14:00:07|1|-73.982551574707031|40.764293670654297|-73.973587036132812|40.763816833496094|N|86204
56757,id2680785,anomalous data,id2680785|2|2016-02-01 08:15:54|2016-02-02 08:09:50|1|-73.9749755859375|40.782730102539063|-73.973159790039063|40.792869567871094|N|86036
59439,id1308717,anomalous data,id1308717|2|2016-03-19 00:35:59|2016-03-19 23:54:45|5|-73.788665771484375|40.641693115234375|-73.987739562988281|40.779521942138672|N|83926
59892,id2837671,anomalous data,id2837671|2|2016-06-30 16:37:52|2016-07-01 16:37:39|1|-73.992279052734375|40.749729156494141|-73.9625244140625|40.800769805908203|N|86387
62280,id3737196,anomalous data,id3737196|2|2016-05-17 13:08:51|2016-05-18 12:08:22|1|-73.96990966796875|40.761451721191406|-73.970756530761719|40.759410858154297|N|82771
62745,id3917283,anomalous data,id3917283|2|2016-06-06 16:39:09|2016-06-07 16:30:50|0|-73.7763671875|40.645248413085938|-73.776359558105469|40.645259857177734|N|85901
63838,id1758965,anomalous data,id1758965|2|2016-04-19 22:48:18|2016-04-20 22:40:15|2|-73.985313415527344|40.747001647949219|-73.966819763183594|40.757591247558594|N|85917
64423,id2198128,anomalous data,id2198128|2|2016-05-17 09:49:17|2016-05-18 09:35:23|1|-74.007713317871094|40.732326507568359|-73.99334716796875|40.752716064453125|N|85566
64717,id3707328,anomalous data,id3707328|2|2016-02-27 02:28:20|2016-02-28 02:22:54|1|-73.973129272460938|40.785160064697266|-74.007827758789063|40.740520477294922|N|86074
65331,id1791698,anomalous data,id1791698|2|2016-06-02 12:02:39|2016-06-03 12:01:17|5|-73.954231262207031|40.764156341552734|-73.973518371582031|40.764778137207031|N|86318
65576,id2516675,anomalous data,id2516675|2|2016-04-12 22:26:11|2016-04-13 22:24:36|1|-73.9947509765625|40.735588073730469|-73.972663879394531|40.756320953369141|N|86305
66347,id2307896,anomalous data,id2307896|2|2016-05-14 04:48:05|2016-05-15 04:47:42|1|-74.000503540039063|40.732120513916016|-73.99420166015625|40.712417602539062|N|86377
66625,id3965422,anomalous data,id3965422|2|2016-06-22 19:24:35|2016-06-23 18:54:28|2|-73.950569152832031|40.775249481201172|-73.983482360839844|40.755783081054688|N|84593
67398,id3033194,anomalous data,id3033194|2|2016-05-02 19:08:12|2016-05-03 18:02:15|3|-73.871002197265625|40.77362060546875|-73.989837646484375|40.767230987548828|N|82443
67843,id3557527,anomalous data,id3557527|2|2016-04-28 22:26:39|2016-04-29 21:32:09|2|-73.99456787109375|40.725803375244141|-73.993995666503906|40.735183715820313|N|83130
67917,id3059048,anomalous data,id3059048|2|2016-03-05 10:30:54|2016-03-06 10:11:04|1|-74.012771606445312|40.702339172363281|-73.993598937988281|40.752040863037109|N|85210
68339,id2984678,anomalous data,id2984678|2|2016-05-28 16:04:52|2016-05-29 15:52:41|1|-73.976234436035156|40.751934051513672|-73.988876342773438|40.757911682128906|N|85669
68692,id3614592,anomalous data,id3614592|2|2016-06-27 19:09:40|2016-06-28 19:08:13|6|-73.997337341308594|40.741771697998047|-73.985633850097656|40.735271453857422|N|86313
68893,id1560845,anomalous data,id1560845|2|2016-03-27 20:18:23|2016-03-28 20:15:05|1|-73.980522155761719|40.754417419433594|-73.98870849609375|40.758567810058594|N|86202
69604,id1834074,anomalous data,id1834074|2|2016-06-17 01:11:12|2016-06-18 00:35:47|5|-73.99249267578125|40.7481689453125|-73.955322265625|40.806888580322266|N|84275
73506,id1463984,anomalous data,id1463984|2|2016-04-13 20:49:56|2016-04-14 20:00:32|1|-73.966896057128906|40.793838500976563|-73.946159362792969|40.804710388183594|N|83436
73817,id0953667,anomalous data,id0953667|2|2016-05-06 00:00:10|2016-05-07 00:00:00|1|-73.996009826660156|40.753219604492188|-73.979026794433594|40.7406005859375|N|86390
74245,id1971857,anomalous data,id1971857|2|2016-01-27 19:25:38|2016-01-28 19:04:55|1|-73.998779296875|40.749523162841797|-73.996124267578125|40.74346923828125|N|85157
74471,id2451709,anomalous data,id2451709|2|2016-04-23 23:11:56|2016-04-24 23:08:32|1|-73.96343994140625|40.761787414550781|-73.90802001953125|40.770977020263672|N|86196
74511,id2833246,anomalous data,id2833246|2|2016-01-06 22:03:47|2016-01-07 20:19:22|2|-73.870803833007813|40.773651123046875|-73.980865478515625|40.729923248291016|N|80135
74796,id1694341,anomalous data,id1694341|2|2016-02-10 15:22:29|2016-02-11 15:20:30|2|-73.945426940917969|40.774360656738281|-73.958969116210938|40.781940460205078|N|86281
75588,id0798190,anomalous data,id0798190|2|2016-05-19 17:38:45|2016-05-20 16:01:23|1|-73.964370727539063|40.764743804931641|-73.9442138671875|40.802272796630859|N|80558
75608,id3518069,anomalous data,id3518069|2|2016-02-13 18:30:46|2016-02-14 18:29:20|1|-74.0081787109375|40.704349517822266|-73.95166015625|40.775398254394531|N|86314
77643,id3813632,anomalous data,id3813632|2|2016-06-02 01:03:57|2016-06-03 00:16:05|3|-73.984107971191406|40.754753112792969|-73.98382568359375|40.739971160888672|N|83528
78484,id3954143,anomalous data,id3954143|2|2016-02-23 15:48:32|2016-02-24 15:46:27|1|-73.954643249511719|40.769554138183594|-73.951248168945312|40.774139404296875|N|86275
81010,id1445677,anomalous data,id1445677|2|2016-05-04 17:53:56|2016-05-05 17:51:13|1|-73.962158203125|40.773300170898437|-73.957672119140625|40.77703857421875|N|86237
81803,id0158884,anomalous data,id0158884|2|2016-03-01 09:40:22|2016-03-02 09:31:04|6|-73.981842041015625|40.755081176757813|-74.013458251953125|40.713542938232422|N|85842
83191,id1717926,anomalous data,id1717926|2|2016-01-26 18:59:30|2016-01-27 18:56:05|1|-73.955459594726563|40.765243530273437|-73.96844482421875|40.770503997802734|N|86195
83516,id2977075,anomalous data,id2977075|2|2016-02-27 23:51:26|2016-02-28 23:47:22|1|-73.984115600585938|40.725181579589844|-74.008842468261719|40.713096618652344|N|86156
84049,id0779986,anomalous data,id0779986|2|2016-06-03 03:23:30|2016-06-04 03:20:28|1|-73.993438720703125|40.747100830078125|-73.97882080078125|40.766841888427734|N|86218
85915,id3373187,anomalous data,id3373187|2|2016-05-04 04:09:25|2016-05-05 03:39:08|6|-73.983810424804688|40.725574493408203|-73.980087280273437|40.734901428222656|N|84583
87449,id0625935,anomalous data,id0625935|2|2016-01-19 21:32:19|2016-01-20 21:28:23|6|-73.988922119140625|40.736640930175781|-73.979270935058594|40.777633666992188|N|86164
88509,id2198959,anomalous data,id2198959|2|2016-02-22 09:06:37|2016-02-23 09:05:55|1|-73.955413818359375|40.779453277587891|-73.963233947753906|40.809165954589844|N|86358
88913,id2846069,anomalous data,id2846069|2|2016-05-03 17:09:18|2016-05-04 17:08:29|6|-73.962608337402344|40.778701782226563|-73.985267639160156|40.768741607666016|N|86351
89002,id0754406,anomalous data,id0754406|2|2016-06-10 06:41:33|2016-06-11 00:00:00|1|-74.000625610351563|40.731937408447266|-73.995841979980469|40.73870849609375|N|62307
90937,id1786468,anomalous data,id1786468|2|2016-06-28 12:13:21|2016-06-29 12:11:30|1|-73.954452514648438|40.769886016845703|-73.982185363769531|40.746437072753906|N|86289
91112,id1184239,anomalous data,id1184239|2|2016-06-26 18:25:33|2016-06-27 18:24:32|1|-73.995132446289062|40.725105285644531|-73.99493408203125|40.750076293945312|N|86339
91199,id3919558,anomalous data,id3919558|2|2016-04-04 13:37:57|2016-04-05 13:36:24|1|-74.004219055175781|40.752830505371094|-73.998741149902344|40.763748168945313|N|86307
91461,id3596084,anomalous data,id3596084|2|2016-06-09 13:07:32|2016-06-10 13:02:50|1|-73.965690612792969|40.774280548095703|-73.983482360839844|40.7611083984375|N|86118
91586,id0999654,anomalous data,id0999654|2|2016-03-30 09:39:51|2016-03-31 00:00:00|1|-74.002769470214844|40.760623931884766|-73.987083435058594|40.771125793457031|N|51609
91718,id3782820,anomalous data,id3782820|2|2016-05-12 13:48:19|2016-05-13 13:47:57|1|-73.781990051269531|40.644721984863281|-73.980674743652344|40.724918365478516|N|86378
94086,id0799332,anomalous data,id0799332|2|2016-06-28 20:33:34|2016-06-29 20:32:40|1|-73.974739074707031|40.752830505371094|-73.994918823242188|40.760799407958984|N|86346
95937,id1444029,anomalous data,id1444029|2|2016-01-26 17:37:51|2016-01-27 16:04:35|1|-73.97113037109375|40.750839233398437|-73.980484008789063|40.734340667724609|N|80804
97355,id3711644,anomalous data,id3711644|2|2016-05-06 07:59:30|2016-05-07 07:40:14|3|-73.946990966796875|40.772163391113281|-73.997230529785156|40.725383758544922|N|85244
98762,id0980323,anomalous data,id0980323|2|2016-01-04 18:13:58|2016-01-05 18:13:12|1|-74.009071350097656|40.710685729980469|-73.980964660644531|40.764663696289063|N|86354
100228,id2251240,anomalous data,id2251240|2|2016-04-15 21:37:29|2016-04-16 21:36:18|4|-74.00836181640625|40.7353515625|-73.997802734375|40.740959167480469|N|86329
100714,id1428859,anomalous data,id1428859|2|2016-04-27 09:06:04|2016-04-28 09:00:22|1|-73.943817138671875|40.807178497314453|-73.942131042480469|40.798019409179688|N|86058
102543,id1886686,anomalous data,id1886686|2|2016-06-16 19:21:42|2016-06-17 19:19:47|2|-74.007865905761719|40.708641052246094|-73.992408752441406|40.721282958984375|N|86285
103545,id2594929,anomalous data,id2594929|2|2016-06-27 16:11:22|2016-06-28 16:03:39|1|-73.96343994140625|40.777530670166016|-73.968269348144531|40.766361236572266|N|85937
104187,id3793668,anomalous data,id3793668|2|2016-02-04 15:50:41|2016-02-05 15:46:41|1|-73.989509582519531|40.720504760742188|-73.942802429199219|40.840866088867187|N|86160
105012,id3892430,anomalous data,id3892430|2|2016-05-17 08:31:32|2016-05-18 07:32:22|3|-74.006553649902344|40.731639862060547|-73.979896545410156|40.761775970458984|N|82850
105505,id2378361,anomalous data,id2378361|2|2016-01-03 21:15:03|2016-01-04 19:51:48|2|-73.86334228515625|40.769367218017578|-73.973335266113281|40.755840301513672|N|81405
109334,id2682709,anomalous data,id2682709|2|2016-06-20 09:30:43|2016-06-21 09:24:54|1|-73.98272705078125|40.751171112060547|-73.969657897949219|40.762958526611328|N|86051
109768,id3996967,anomalous data,id3996967|2|2016-02-25 14:51:06|2016-02-26 14:29:39|1|-73.9666748046875|40.794055938720703|-73.956077575683594|40.788013458251953|N|85113
110068,id1086935,anomalous data,id1086935|2|2016-05-24 15:19:51|2016-05-25 14:25:06|6|-73.985969543457031|40.731010437011719|-73.993537902832031|40.729301452636719|N|83115
110217,id2831023,anomalous data,id2831023|2|2016-03-16 12:12:20|2016-03-17 11:37:21|3|-73.973342895507813|40.764080047607422|-73.991096496582031|40.750278472900391|N|84301
110658,id3438747,anomalous data,id3438747|2|2016-02-28 04:03:27|2016-02-29 03:49:12|1|-73.987571716308594|40.722694396972656|-73.892616271972656|40.747138977050781|N|85545
113966,id1453066,anomalous data,id1453066|2|2016-03-06 02:06:26|2016-03-07 01:30:20|2|-73.963020324707031|40.79913330078125|-73.979095458984375|40.78173828125|N|84234
114222,id0681405,anomalous data,id0681405|2|2016-06-16 18:12:49|2016-06-17 16:54:32|1|-73.965415954589844|40.766101837158203|-73.971908569335938|40.756813049316406|N|81703
114753,id2385269,anomalous data,id2385269|2|2016-02-26 07:22:37|2016-02-27 07:21:10|1|-73.965103149414063|40.806491851806641|-73.984260559082031|40.786041259765625|N|86313
114789,id2615851,anomalous data,id2615851|2|2016-04-01 17:45:36|2016-04-02 17:42:48|1|-73.999900817871094|40.743278503417969|-73.973884582519531|40.782978057861328|N|86232
115348,id2967816,anomalous data,id2967816|2|2016-05-25 14:30:49|2016-05-26 14:27:48|5|-73.995208740234375|40.739326477050781|-73.980148315429687|40.760448455810547|N|86219
115620,id2046084,anomalous data,id2046084|2|2016-01-11 18:53:15|2016-01-12 18:37:50|6|-73.982124328613281|40.757236480712891|-73.982353210449219|40.775306701660156|N|85475
115990,id1549556,anomalous data,id1549556|2|2016-02-03 00:24:23|2016-02-04 00:03:37|2|-73.981781005859375|40.769111633300781|-73.978912353515625|40.761466979980469|N|85154
116552,id2672218,anomalous data,id2672218|2|2016-05-07 05:32:43|2016-05-08 00:00:00|1|-73.946739196777344|40.7764892578125|-73.983673095703125|40.749881744384766|N|66437
117741,id2529241,anomalous data,id2529241|2|2016-03-25 12:51:33|2016-03-26 12:50:37|1|-73.990898132324219|40.734275817871094|-73.983779907226562|40.760353088378906|N|86344
118720,id1749952,anomalous data,id1749952|2|2016-05-19 20:28:44|2016-05-20 20:17:55|1|-73.981391906738281|40.768569946289063|-73.973136901855469|40.750331878662109|N|85751
118745,id1449462,anomalous data,id1449462|2|2016-02-20 17:39:40|2016-02-21 17:35:33|1|-73.991439819335938|40.750015258789063|-74.004386901855469|40.7210693359375|N|86153
118769,id2289594,anomalous data,id2289594|2|2016-03-03 08:40:11|2016-03-04 08:37:54|1|-74.015388488769531|40.716136932373047|-74.002182006835937|40.729488372802734|N|86263
119271,id2758157,anomalous data,id2758157|2|2016-06-28 18:00:35|2016-06-29 17:58:21|2|-73.968353271484375|40.770648956298828|-73.986518859863281|40.75830078125|N|86266
119953,id1649776,anomalous data,id1649776|2|2016-06-10 20:17:49|2016-06-11 20:16:27|1|-73.977378845214844|40.751731872558594|-73.969856262207031|40.798007965087891|N|86318
120086,id2557853,anomalous data,id2557853|2|2016-06-23 12:25:30|2016-06-24 12:10:04|3|-73.987777709960937|40.741584777832031|-73.993537902832031|40.735797882080078|N|85474
120184,id3070191,anomalous data,id3070191|2|2016-01-01 15:27:28|2016-01-02 15:09:41|3|-73.989654541015625|40.73565673828125|-73.989654541015625|40.73565673828125|N|85333
120698,id0638534,anomalous data,id0638534|2|2016-05-28 18:03:05|2016-05-29 17:40:19|1|-74.011581420898438|40.707954406738281|-73.977684020996094|40.752063751220703|N|85034
120720,id2812681,anomalous data,id2812681|2|2016-03-20 21:14:12|2016-03-21 20:19:34|1|-73.986358642578125|40.73052978515625|-73.992141723632813|40.743961334228516|N|83122
122804,id1167611,anomalous data,id1167611|2|2016-01-05 19:51:25|2016-01-06 19:36:50|2|-73.984306335449219|40.764747619628906|-73.938980102539062|40.854248046875|N|85525
124382,id1436692,anomalous data,id1436692|2|2016-03-15 20:24:40|2016-03-16 19:34:55|1|-74.009284973144531|40.706256866455078|-73.982315063476563|40.723518371582031|N|83415
124494,id2391943,anomalous data,id2391943|2|2016-02-25 07:44:53|2016-02-26 07:41:39|1|-73.974769592285156|40.790771484375|-73.995445251464844|40.735740661621094|N|86206
124527,id2798580,anomalous data,id2798580|2|2016-03-15 09:03:15|2016-03-16 06:25:36|1|-73.968620300292969|40.799228668212891|-73.870391845703125|40.773738861083984|N|76941
124782,id3506642,anomalous data,id3506642|2|2016-04-28 16:21:48|2016-04-29 15:26:32|1|-73.789512634277344|40.646446228027344|-73.983268737792969|40.761924743652344|N|83084
